acc,loss,top5_acc,val_acc,val_loss,val_top5_acc,epoch
0.3649815022945404,3.5535593032836914,0.7259789705276489,0.3911782205104828,2.810960054397583,0.8189056515693665,0
0.53033846616745,2.309089422225952,0.861809253692627,0.5069007277488708,2.4393718242645264,0.865176796913147,1
0.5306228995323181,2.304456949234009,0.8625895380973816,0.5013858079910278,2.407172441482544,0.866419792175293,2
0.5309126377105713,2.3009603023529053,0.8629772663116455,0.5001556873321533,2.39321231842041,0.8666462302207947,3
0.531085729598999,2.29903244972229,0.863242506980896,0.5012288093566895,2.380012273788452,0.8668649792671204,4
0.5313520431518555,2.296238899230957,0.8636057376861572,0.5008736848831177,2.3802404403686523,0.8674054145812988,5
0.5317914485931396,2.2941207885742188,0.8635706305503845,0.5004619359970093,2.3857216835021973,0.867297351360321,6
0.5320678353309631,2.2924158573150635,0.8640499711036682,0.5015453696250916,2.373903512954712,0.8677271008491516,7
0.5318495035171509,2.290874719619751,0.8643338680267334,0.5016122460365295,2.378253698348999,0.8678300380706787,8
0.5321152806282043,2.2889575958251953,0.864590048789978,0.5006420612335205,2.3703532218933105,0.8675341010093689,9
0.5325152277946472,2.2870049476623535,0.8647993206977844,0.512338399887085,2.368825912475586,0.867763102054596,10
0.5324028730392456,2.2865612506866455,0.8648589849472046,0.5001325607299805,2.383826494216919,0.8676319122314453,11
0.5327256321907043,2.285160541534424,0.8649575114250183,0.5064735412597656,2.358114719390869,0.8678017258644104,12
0.5329322814941406,2.2842986583709717,0.8650997281074524,0.4999549686908722,2.3739635944366455,0.8683112859725952,13
0.5327432155609131,2.2834532260894775,0.8653324842453003,0.5015839338302612,2.3667948246002197,0.8682443499565125,14
0.5330047011375427,2.281482219696045,0.8654986619949341,0.5007295608520508,2.352487325668335,0.8682829737663269,15
0.5329924821853638,2.281242847442627,0.8654991984367371,0.5011284351348877,2.369622230529785,0.8684630990028381,16
0.5333221554756165,2.279890775680542,0.8657926321029663,0.5006600618362427,2.358978271484375,0.8688362836837769,17
0.5332475900650024,2.2793467044830322,0.8658671975135803,0.5014424324035645,2.3608803749084473,0.8684219121932983,18
0.533292829990387,2.2784008979797363,0.8658203482627869,0.5023508667945862,2.3515830039978027,0.8687513470649719,19
0.5334622263908386,2.2776858806610107,0.8659215569496155,0.50314861536026,2.371574640274048,0.8678969740867615,20
